,AGE07,EDCL07,MARRIED07,KIDS07,OCCAT107,INCOME07,RISK07,WSAVED07,SPENDMOR07,HHOUSES07,NETWORTH07,Risky2007,Risky2009,Safe2007,Safe2009,RiskTol2007,RiskTol2009,RiskTolChange
12577,62,2,2,1,3,36209.19438,3,3,4,1,72906.074461,1864.0757675,0,11909.3729589,1150,0.1353383458659172,0.0,-0.1353383458659172
12578,62,2,2,1,3,27689.383938,3,3,4,1,76116.427172,4660.1894187,0,12323.6120183,1150,0.2743902439030852,0.0,-0.2743902439030852
12579,62,2,2,1,3,26624.407632,3,3,4,1,77980.502939,4038.8308295,0,14809.046375,1150,0.21428571428381943,0.0,-0.21428571428381943
12580,63,3,1,1,2,313103.03376,3,3,5,1,6760381.45,1736697.2567200002,0,47637.491835,555000,0.9733023795711102,0.0,-0.9733023795711102
12581,63,3,1,1,2,343987.34661,3,3,5,1,5432745.2645,1942781.18876,0,47637.491835,555000,0.9760665972946156,0.0,-0.9760665972946156
12582,63,3,1,1,2,289673.55504,3,3,5,1,5764136.5121,1358704.11499,0,47637.491835,555000,0.966126656849364,0.0,-0.966126656849364
12583,63,3,1,1,2,334402.55986,3,3,5,1,6938504.2456,1928282.82166,0,47637.491835,555000,0.9758909853248389,0.0,-0.9758909853248389
12584,63,3,1,1,2,314168.01006,3,3,5,1,6511838.0144,1497474.1999,0,47637.491835,555000,0.9691689008051527,0.0,-0.9691689008051527
12595,57,4,1,3,2,3407924.1769,3,3,3,1,34269997.387,379028.73939,2216000,4423037.5572,458000,0.07893034289408968,0.8287210172026926,0.7497906743086029
12596,57,4,1,3,2,3407924.1769,3,3,3,1,34642812.541,341747.22404,774000,4851774.9837,348000,0.06580259222357573,0.6898395721925134,0.6240369799689376
12597,57,4,1,3,2,3418573.94,3,3,3,1,31543268.779,356245.59112,2484000,1739804.0496,846000,0.16996047431282613,0.745945945945946,0.5759854716331199
12598,57,4,1,3,2,3407924.1769,3,3,3,1,32675177.008,382135.53233,1861000,2840644.3501,705000,0.11857326478092169,0.725253312548714,0.6066800477677923
12599,57,4,1,3,2,3407924.1769,3,3,3,1,32549869.693,450484.97714,2709000,2652165.5781,356000,0.14519359145334157,0.8838499184339315,0.7386563269805899
12600,81,4,1,0,2,2193851.1889,2,3,5,1,72454553.886,2433654.4742,825000,146019.26845,644000,0.9433962264158258,0.5616065350578625,-0.38178969135796326
12601,81,4,1,0,2,3258827.4942,2,3,5,1,87929489.549,8409052.9066,844000,63171.456564,680000,0.992543698814368,0.5538057742782152,-0.4387379245361528
12602,81,4,1,0,2,2875436.0243,2,3,5,1,87655056.172,3386404.3109,707000,1418768.7786,723000,0.704741379306353,0.4944055944055944,-0.21033578490075866
12603,81,4,1,0,2,2832836.9721,2,3,5,1,614051412.15,11432998.04,844000,195727.95558,761000,0.983168581351526,0.5258566978193147,-0.4573118835322113
12604,81,4,1,0,2,3567670.6227,2,3,5,1,423516978.77,2620062.0509,738000,167766.81907,688000,0.9398216939077019,0.517531556802244,-0.4222901371054578
12635,80,3,1,0,1,29819.336548,4,3,5,0,68867.243632,10355.976486,2000,38317.1129982,35000,0.2127659574468085,0.05405405405405406,-0.15871190339275446
12636,80,3,1,0,1,29819.336548,4,3,5,0,71145.558459,10355.976486,2000,38317.1129982,35000,0.2127659574468085,0.05405405405405406,-0.15871190339275446
12637,80,3,1,0,1,29819.336548,4,3,5,0,71041.998694,10355.976486,2000,38317.1129982,35000,0.2127659574468085,0.05405405405405406,-0.15871190339275446
